Бакалавриат;Здравствуйте, при заполнение анкеты, в графе заявления написано что нет доступных направлений для поступления. Как мне это исправить?;; Здравствуйте! Сейчас прием документов не ведется. Анкета для поступающих откроется ближе к началу приема заявлений 19 июня. 
Бакалавриат;Поступление иностранного гражданина.;Здравствуйте! Могу ли я сдав ЕГЭ и вступительные испытания объединить результаты? Например: сдать вступительный по физике а ЕГЭ математику и русский.; Здравствуйте! Вам необходимо будет сразу при подаче заявления указать, какой из двух результатов вы будете засчитывать по каждому из предметов. 
Бакалавриат;Учёт ИД;Здравствуйте, даёт ли призёрство регионального этапа ВСОШ по программированию в 10 классе дополнительные баллы? На сайте также сказано, что призёрство Столичной олимпиады МФТИ даёт 2 балла ИД, распространяется ли это на диплом 3 степени? Если они учитываются, то могут ли они учитываться одновременно с баллами за призёрством заключительного этапаили с сотней баллов ЕГЭ за заключительный этап? ;" Здравствуйте! Учитывается региональный этап ВСОШ по следующим предметам: по математике, физике, астрономии, химии, информатике, биологии и экономике. Диплом 3 степени - это диплом призера. Если вы получаете 100 баллов за ЕГЭ по олимпиаде, то в соответствии с п. 7 Порядка учета индивидуальных достижений вы не можете получить дополнительные баллы по этой олимпиаде (как по ее заключительному этапу, так и по отборочному). Отборочный и заключительный этап олимпиады ""Физтех"" относятся к одному индивидуальному достижению, а каждое индивидуальное достижение можно зачесть только один раз, поэтому можно получить дополнительные баллы либо только за отборочный, либо только за заключительный этап. "
Бакалавриат;ФАЛТ поступление 2020;Не могу найти информацию по поступлению на ФАЛТ в 2020м. На официальном сайте предлагают ссылку, которая показывает список физтех-школ, где вообще нет ФАЛТа. Может ли быть такое, что факультет не открывает приёмы по каким-либо причинам? Или открывает, но не по всем направлениям, указанным на сайте?; Добрый день! Как вы уже заметили, поступление ведется по физтех-школам, а не по факультетам. ФАЛТ относится к физтех-школе аэрокосмических технологий (ФАКТ). 
Бакалавриат;Лист согласования;Здравствуйте, я заполнил анкету для перевода в МФТИ из другого вуза. После блокировки данных, у меня появилось заявления о переводе, но не появился лист согласования. Где можно найти образец такого листа?; Добрый день! При отправке документов почтовым оператором лист согласования вам не требуется. 
Бакалавриат;Поступление на бюджет.;Здравствуйте! хотела бы узнать, можно ли поступить на бюджет? или только в МФТИ платные места?; Добрый день! Информация о количестве мест опубликована по ссылке: https://pk.mipt.ru/bachelor/2020_places/ 
Бакалавриат;Второе высшее;Здравствуйте, можно ли поступить на второе высшее на платной основе? Моя мечта учится в физтехе. Нет ли ограничений по возрасту?; Добрый день! Ограничений по возрасту нет. Поступление на контракт также проводится на конкурсной основе, шансы на поступление зависят от результатов вступительных испытаний (или ЕГЭ). Вы можете ознакомиться со статистикой прошлого года на нашем сайте, проходные баллы на контракт по каждой конкурсной группе указаны. 
Бакалавриат;Предоставление особых прав за перечневые олимпиады, БВИ;Здравствуйте. Хотелось бы уточнить, засчитывается ли при подаче заявления на поступление на ФПМИ ПМФ диплом Турнира Городов (1 уровень, математика) полученный за осенний тур, или БВИ/100 баллов ЕГЭ даются только за диплом весеннего Устного тура. Спасибо.; Добрый день! Дипломы РСОШ, учитываемые при поступлении, выдаются в случае успешного прохождения заключительного этапа олимпиады (в данном случае устного тура). 
Бакалавриат;Учет ИД.;Здравствуйте! Призёрство на РЭ ВОШ по физике и информатике оценивается как одно ИД?; Добрый день! Верно. 
Бакалавриат;Предоставление общежития;На каких правах предоставляется общежитие для поступивших на бюджетной основе?; Здравствуйте! Общежитие предоставляется всем иногородним поступившим. 
Бакалавриат;Учёт олимпиад ;Если предоставить дипломы перечневых олимпиад по математике и физике, то льгота по получению 100 баллов зачтется по обоим предметам? ; Добрый день! 100 баллов можно зачесть по обоим предметам. 
Бакалавриат;Учёт ИД;Здравствуйте, если стать призёром РЭ по физике и астрономии, то в ИД добавиться 10 баллов или только 5.; Здравствуйте! Каждое индивидуальное достижение учитывается один раз, вы можете получить только 5 баллов. 
Бакалавриат;Целевое обучение.;Здравствуйте. На дне открытых дверей, когда я спросил про организации, осуществляющие целевое обучение в МФТИ, мне ответили, что они есть на сайте. Однако на сайте я не могу найти эту информацию. Можете ответить: «Где найти список организаций, осуществляющих целевое обучение?»; Добрый день! На сайте перечень организаций больше не публикуется. Вы можете связаться с интересующей физтех-школой и уточнить, с какими организациями она обычно сотрудничает. 
Бакалавриат;Учет ИД;Здравствуйте, если поступать на ПМИ и иметь при себе диплом призера олимпиады «Физтех» по математике, то мне зачтут 100 баллов по математике и несколько баллов ид или только первое?; Добрый день! Если диплом использовался для получения особых прав (100 баллов за предмет или БВИ), его нельзя зачесть еще и в ИД. 
Бакалавриат;Целевое обучение;где можно узнать какие организации предоставляют целевое обучение; Добрый день! Абитуриенты самостоятельно ищут целевые организации. Вы можете обратиться в интересующие вас физтех-школы и уточнить, с какими организациями они обычно сотрудничают. 
Бакалавриат;Предоставляется ли общежитие для студента, обучающегося на контрактной основе и предусмотрена ли стипендия?;; Здравствуйте! Общежитие предоставляется всем иногородним. Стипендия выплачивается обучающимся на бюджете. 
Бакалавриат;Россотрудничество;"Здравствуйте! Я иностранный гражданин, и, изучая сайт Россотрудничества (https://russia.study), я смог найти в разделе вашего университета только одну вкладку по программе ""Прикладная математика и физика"" (аналогично с ПМИ), однако обучение по этим программам в МФТИ ведётся на базе разных физтех-школ, и это разница довольно ощутима. Я правильно понимаю, что иностранные граждане, поступающие таким способом, не могут выбирать, в какую физтех-школу им поступать при выборе этих программ? Проще говоря, если я выберу ""Прикладную математику и физику"", то могу быть в итоге зачислен как в ФПМИ, так и в ФБМФ, например? Заранее благодарен за любой ответ."; Здравствуйте! Рекомендуем обратиться в международный департамент с данным вопросом: interadmission@phystech.edu. 
Бакалавриат;Учет ИД;Скажите ,пожалуйста, за диплом ЗФТШ по математике и физике можно получить столько же баллов в качестве ИД, как и за диплом ЗФТШ только по математике?; Добрый день! Баллы даются за наличие свидетельства об окончании ЗФТШ (4 балла), количество баллов не зависит от количества предметов в свидетельстве. Дополнительно к этим 4 баллам можно получить 2 балла, если свидетельство об окончании красное, и по 1 баллу за каждую оценку отлично. 
Бакалавриат;Что значит поступление на договорную основу обучения за счёт собственных средств института?;; Добрый день! Это поступление на контракт, но за студента платит институт. 
Бакалавриат;В МФТИ после колледжа;Здравствуйте! Я являюсь студентом МПТ РЭУ им. Плеханова. Могу ли я поступить в МФТИ после техникума с дипломом о СПО? Если да то будут ли какие-то экзамены? И будет ли обучение по ускоренной программе?; Добрый день! Обладатели среднего профессионального образования могут поступать в МФТИ. Для поступления необходимы результаты ЕГЭ либо вы можете сдавать вступительные испытания, проводимые МФТИ. Вы можете ознакомиться с перечнем вступительных испытаний, необходимых для поступления на те или иные условия обучения, в правилах приема. Что касается процесса обучения, вы можете уточнить информацию в дирекции интересующей физтех-школы или в учебном управлении. 
Бакалавриат;Какой экзамен мне нужно сдавать для гранта?;Я являюсь жителем страны бывшей СССР. Какие экзамены мне нужно сдать для поступления на грант, также возможно ли проживание в общежитий бесплатно?; Добрый день! Отдельных экзаменов на грант нет. Поступление проводится по вступительным испытаниям, перечень которых для каждого направления подготовки и конкурсной группы устанавливается правилами приема. Правила приема на 2020 год будут опубликованы к 01 октября на сайте приемной комиссии. Бесплатно общежитие не предоставляется, стоимость проживания варьируется в зависимости от типа общежития. 
Бакалавриат;Факультеты;Здравствуйте, есть ли у вас факультеты/кафедры занимающиеся в сфере или близки к разработке/созданию электронных устройств и их программирования. Заранее благодарю.; Добрый день! Вы можете ознакомиться с нашими физтех-школами и сферами их деятельности, перейдя в раздел Учебные подразделения на сайте приемной комиссии, также вы можете связаться с представителями данных физтех-школ и узнать интересующие подробности. 
